block_id,id,hash,date,time,size,weight,version,lock_time,is_coinbase,has_witness,input_count,output_count,input_total,input_total_usd,output_total,output_total_usd,fee,fee_usd,fee_per_kb,fee_per_kb_usd,fee_per_kwu,fee_per_kwu_usd,cdd_total
788291,832209903,fef8642ddeeb1de4774ac47f2ca9c6e59fc2d5ff1bfea8bc700eec8c24cbc4f5,2023-05-04,2023-05-04 21:14:21,1708,3277,1,0,False,True,11,2,1952553897281,566338240,1952553794525,566338240,102756,29.804379,60161.594,17.449871,31356.729,9.095019,423001.61678394
788326,832335340,acd94292b21976d0f2ede164aabf30f6126d6e493fcc7d71b6371dfaa3df43f9,2023-05-05,2023-05-05 04:35:29,606,1104,1,788325,False,True,2,2,1493363362151,430909980,1493363286253,430909980,75898,21.900368,125244.23,36.13922,68748.19,19.83729,2693.5513205673
788347,832405569,ddc9f38e2c7fe9a328bda875d7bbf62d61cef59616e7dfa6a70e9caa6c57399a,2023-05-05,2023-05-05 08:15:08,605,1103,1,788345,False,True,2,2,1493231027415,430871800,1493230958996,430871800,68419,19.742302,113089.26,32.631905,62029.918,17.898733,2277.4832773812
788303,832250328,8868b51f595fea8cb209b9a8e68d884b9052ec128a6dee1fed59975edb9f5186,2023-05-05,2023-05-05 00:15:30,346,721,1,788302,False,True,1,2,1492039945576,430528130,1492039895982,430528100,49594,14.3103485,143335.27,41.35939,68785.02,19.84792,9921.0294992293
788270,832133764,5ab2a8c0d18c60f4a400882f52938c220f6aa21a5714bc6861fa9ec019600acd,2023-05-04,2023-05-04 18:35:15,223,892,2,0,False,False,1,2,873155364002,253258720,873155326517,253258700,37485,10.872524,168094.17,48.755714,42023.543,12.188929,1134.6977346082
788281,832175427,5316ae8287be2f9b761c758b59bd0e4659b2c498fa5b226df844b3d90afc6d28,2023-05-04,2023-05-04 19:31:45,520,2080,2,0,False,False,3,2,870128276517,252380700,870128248977,252380700,27540,7.987977,52961.54,15.361494,13240.385,3.8403735,341.38727289961
788284,832185319,67c1f676e068c7c02e02ab9306800999701fc3ecc0b5c274470cd815d235fa99,2023-05-04,2023-05-04 20:15:14,224,896,2,0,False,False,1,2,860171258977,249492670,860171237047,249492670,21930,6.3607965,97901.79,28.396414,24475.447,7.0991035,259.74384429062
788350,832419357,360b2c036353dff50f0d55d83918d91adfe7f6f4078b92f30bd31bed471ee07e,2023-05-05,2023-05-05 08:38:46,813,3252,2,0,False,False,5,2,859447693282,247993630,859447663957,247993620,29325,8.461729,36070.11,10.4080305,9017.527,2.6020076,225.87149727867
788319,832308073,d980395d31d26a0c27eedd6bc3596bed36ff8702c5e89d515a17e84841c57daa,2023-05-05,2023-05-05 03:19:30,667,2668,2,0,False,False,4,2,858305219482,247663970,858305200102,247663970,19380,5.592099,29055.473,8.383957,7263.868,2.0959892,5.5554470490741
788350,832419358,19bf9e32c649abdea4b0da318e3017b1fb21f3beba4c5a2193f0d94b96c9868d,2023-05-05,2023-05-05 08:38:46,225,900,2,0,False,False,1,2,857496815957,247430700,857496798362,247430700,17595,5.0770373,78200.0,22.56461,19550.0,5.6411524,0.0
