,1,Txn Hash,Method,Block,2,Age,3,From,4,To,Value,Txn Fee,5
0,,0xd769b1057d2e2ef5229024dd348519881a190184f0a3e46d17aa491d768ec04d,Transfer,17166331,,16 secs ago,,builder0x69.eth,,Fee Recipient: 0x467...263,0.217052741 ETH,0.00169035,
1,,0xe4e5f344e128bfce45ae78f6ac4e1efdbce5300f7ce0b170cac67f71af3e9b61,0x00000002,17166331,,16 secs ago,,0x83b4F7...122354f5,,MEV Bot: 0x07b...163,0 ETH,0.06880457,
2,,0xa94b493d73b2599e033700f28920e88093fbc9104e072e90dbeb07e8f0859d7b,Execute,17166331,,16 secs ago,,0xc50BcD...40DbeE62,,Uniswap: Universal Router,0.82 ETH,0.010774,
3,,0x31268f32d82cc8c05382edfc519d602ea851059d6ef7822830e1bf3cdf33bbe8,Relay1Gs Wnfs IQ...,17166331,,16 secs ago,,0x83b4F7...122354f5,,MEV Bot: 0x07b...163,0 ETH,0.00707439,
4,,0xe697e5bc3043e27632076532b8312ab2b47991382edc0c781fb5845135722bc9,Transfer,17166331,,16 secs ago,,0x36311A...C85BC89c,,Tether: USDT Stablecoin,0 ETH,0.00509348,
5,,0x7980a098863348f4f4c343223b820ac2c8b6dc7ba6b02d23d555461587167a23,Transfer,17166331,,16 secs ago,,0xb121E5...7401C249,,0x016593...7d001d43,0 ETH,0.0041485,
6,,0x386472f8ec4acacb66528ceba7b82086891fcba12cef036f7d90fb530f6ae87c,Transfer,17166331,,16 secs ago,,0x27899f...9EE60FD6,,0xce2aB6...386e70Bf,0.108602902 ETH,0.00169221,
7,,0xf606aca05eaff29a49c9d55d03402b5f4a3d088d021e137bc3d20e583975411b,Transfer,17166331,,16 secs ago,,0x8C8D7C...564d7465,,0x742f83...4b2c94Fb,0.216442729 ETH,0.00169221,
8,,0xf0ddaf26355b709b78f94a4f2c2aa96ad39f0b2a0e63e2b643e7b54faf6e8bab,0xe3a54629,17166331,,16 secs ago,,0xd205a9...7fEc5044,,Bitrue: Deposit Funder,0.078552896 ETH,0.00803471,
9,,0x527ba214b43a1b2ad466cb519ecc6d50207fbc6398ebd214f4c444ad473e83b5,Transfer,17166331,,16 secs ago,,0xD0C67e...49E28A67,,Tether: USDT Stablecoin,0 ETH,0.00332874,
10,,0x73ab579dec9164e467dff1592ea1b4d1fd814943476a209a0266fb885b850d19,Transfer,17166331,,16 secs ago,,0xCBD683...c58575ac,,0x71c861...17223602,0.0893741 ETH,0.00169221,
11,,0xbaebe6fe6eeed775211b7520cfea98f80b499686e70a073c186985f770bab20f,Transfer,17166331,,16 secs ago,,0x292f04...35A478c8,,Tether: USDT Stablecoin,0 ETH,0.00509348,
