,0
0,2
1,0xb2ce7d429baff8eac95924d8e6942adfd4d4c7b9655185b9ff9818c3d39df759
2,0x05b5e576d0a9a2abc70108fbf6c93e5efa33b94cb414adf1b9d2c54d0e035a85
3,0x57c70b4eaed469701974324ef99b1236a1e4dd49cdc7a0e8ed8b36719aca0c37
4,0x83421b9de38771f7d35a22082563fc656f0b0fb966e7807394ddc06e12869131
5,0xa273d267c738924f0096aa0bebd8c72a15df145f0130a812078702b77a535cb2
6,0x75420b887eec15c7a4e7b57d92b941dfe2568eb67bd4e15b9497cc23c6aacf81
7,0xfab3b73668f914473f7a7759793f5fa68a47000a03fe526c148569d21e06bcef
8,0x06f1e7fff7adb206419bc4abd15b39a4226d3b9ddeb091694333f312680b4e1e
9,0x5ad1bae551efd0e06acc846202aba6976aa1520fb42befc1004109ec51ca2d57
10,0x447f3c9e354674389e7166c155198b96eba85613a8b5769d3dd39808dd3012c0
11,0xe39ac6de791856d978a2f548606f3c831c943b7427a64db9b1f4beff85462e84
12,0x59c06d8cbb3053978f0a40e79435ebb468f8ec310e9ff3ca85ec2baef92af762
13,0xa7d318871c10cb98a054a6314451dfb342349038cfd82ddb23b5077c8ddbca53
14,0x6de74f79a00d5ca1922e9dc10196b9998cba4be06fc5e3ba3494544b26ff931b
15,0x2508b5762a896a4943487c728039a2da710da38dee477faa0878275925954ebd
16,0x9529a59a103d9b515e3b07c48f2c44ac359b33cbebe7dc154e437f2775604e54
17,0xfa7efa4bb200529249ffe929f794528e788e61f3a4af0f3f733863c01bad44c5
18,0x7b34371123bff1c83a4b41a35fa749a8373194bb77195210a227cbf3ffb015e8
19,0x66b3995be1fdde07b7c2dc97c59ae68c50981b1993f79f26e77ffff94ae167e9
20,0x1494171fef50481664b05ca2f82d5582aba36c93e472c0c77fe69060a54f7246
21,0xe0ab0f529bac2bbbece847d156dacf7c9cb04fc299cdcbee316cbc8e58e2b444
22,0x44a4273775c0d121c1486c12a790b01f4b192548fa6b67f435e24bcbca6bead9
23,0xf6a5e7650ad957aadae572401b65bfa518458f237f2e6a467695794ae096a46c
24,0xdaee5858a7ad007be20ec019d083a7507c06d90c02e2a5b945ccd2bc7af830ba
25,0xae48a6826b30e1a2474743bd0f6bf5690f57862d50e5e422d1c19d0860e6a525
26,0x35ca1a7c24978d48995cc58dfc0b0e921bb9e814a40f0f8332cbb6ae7e56e6a4
27,0x694faf138f76f59c9138d891f8333d17530b9d1ff3606e2f2c1c1eae137df09c
28,0x1f6c1e0954c08eafa5ffe8d1f572c28688bee8ecd624aa97c382aef84850aad5
29,0xe5057f85fee6fba97a0a5262851a65be5544d61d38da470b46033df244f43e24
30,0x69f1e2e3205b8a414c36cbebb53150e48c2070d222aa0a3b219c78c5870a3475
31,0x646925615513b12795843833d1c57cd71752ccb07d3a85a2beb5d91cf1995750
32,0x3bbf117bb113cd6e01667a3e7a92068c38fe7b9c74606921fe1567cd727ffcfa
33,0x5edea6599fef6d7b281d4fedb7c3f04692c22942c4aeda27610df251a96cc383
34,0xb28c467a989f7b5ae8b7197741bf9a17d7fde70526fe3b5ac1a7df0fe8180da3
35,0xa1f8cfebd9c1b310bb812e8b74637473311aad3a57b232b3cea2ac692a957a6f
36,0x64b858b292b03118cd39221b288fb6e87b5c18904cd4392811ceebc0a9c86608
37,0xd48c3c457cfda9cf1b56ab926cbcf164a264cf69099f5fa5e19f82b9146c0af2
